범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
업무상 과실치사상,533,289,127,168,83,62,57,16,867,182,172,163,139,230,195,342,88
실화,328,132,59,102,51,50,24,8,674,86,136,117,97,143,136,126,64
명예,7095,2784,1241,1677,861,769,280,122,6883,817,790,1104,886,1140,1203,1856,430
권리행사방해,1670,805,488,817,381,432,161,71,2766,401,473,737,564,439,708,928,196
신용업무경매,5416,1621,954,1487,755,543,295,54,6064,680,563,790,473,712,815,1359,526
주거침입,3838,1066,680,919,381,442,197,53,4070,667,525,719,516,602,777,1004,725
비밀침해,33,16,4,9,3,5,2,1,35,1,2,3,4,1,1,5,3
유기,152,8,3,17,9,5,2,0,23,8,2,4,3,5,8,9,2
교통방해,82,50,31,52,22,14,21,7,334,107,69,149,63,119,114,119,29
공무방해,2648,906,569,1239,215,323,152,54,2336,416,303,447,300,413,533,924,278
도주와범인은닉,65,29,38,28,13,15,6,0,48,24,8,20,8,16,23,22,1
위증과 증거인멸,746,237,183,156,100,101,10,5,475,102,68,116,101,148,119,177,43
무고,1428,558,248,270,174,158,55,16,1145,203,151,221,165,245,240,348,76
공안을 해하는죄,105,16,4,2,5,1,1,2,23,0,1,1,1,0,7,1,1
내란의죄,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
음용수에 관한죄,3,0,0,0,0,0,1,0,3,1,0,1,0,1,1,4,1
일수와 수리에 관한죄,0,0,1,0,0,1,0,0,0,1,1,2,1,0,0,3,0
기타,34,1,2,0,3,4,0,0,6,0,2,0,0,1,0,3,0
가정폭력 범죄의 처벌등에 관한 특례법,79,7,67,27,14,20,1,2,99,6,15,10,6,18,7,16,1
가축분뇨의 관리 및 이용에 관한법률,3,14,0,4,3,0,12,13,230,38,52,153,148,80,103,103,0
감염병의 예방 및 관리에 관한법률,45,10,6,19,1,0,3,0,63,12,9,9,12,17,8,5,0
